"","parent","index","text"
"2139","1",2139,"Don’t you think I am? "
"2183","1",2183,"Will you let me hold the brooch for one minute, Marilla? "
"2184","1",2184,"Do you think amethysts can be the souls of good violets?”     "
"2187","1",2187,"“Anne,” she said to that small personage, who was shelling peas by the spotless table and singing, “Nelly of the Hazel Dell” with a vigor and expression that did credit to Diana’s teaching, “did you see anything of my amethyst brooch? "
"2191","1",2191,"“Did you touch it?” "
"2197","1",2197,"Where did you put it?”  "
"2217","1",2217,"Now, what have you done with it? "
"2219","1",2219,"Did you take it out and lose it?”  "
"2228","1",2228,"“Will I take the peas with me?” "
"2234","1",2234,"What if Anne had lost it? "
"2254","1",2254,"“You’re sure it hasn’t fell down behind the bureau?” "
"2259","1",2259,"“Well now, what are you going to do about it?” "
"2278","1",2278,"“You won’t keep me from going to that, will you? "
"2279","1",2279,"You’ll just let me out for the afternoon, won’t you? "
"2301","1",2301,"Diana and I make necklaces of roseberries but what are roseberries compared to amethysts? "
"2359","1",2359,"Don’t you think it’s pretty rough not to let her go to the picnic when she’s so set on it?”  "
"2378","1",2378,"“Dear life and heart,” said Marilla blankly, “what does this mean? "
"2380","1",2380,"Whatever did that girl mean by saying she took it and lost it? "
"2403","1",2403,"“Oh, Marilla, isn’t it too late?”  "
"2416","1",2416,"Isn’t it very expressive? "
"2437","1",2437,"“Isn’t it good just to be alive on a day like this? "
"2440","1",2440,"And it’s splendider still to have such a lovely way to go to school by, isn’t it?”  "
"2452","1",2452,"And it’s a very pretty name, don’t you think? "
"2461","1",2461,"Oh, Marilla, can’t you just imagine you see them? "
"2465","1",2465,"It’s nice to be clever at something, isn’t it? "
"2480","1",2480,"How would she get on with the other children? "
"2481","1",2481,"And how on earth would she ever manage to hold her tongue during school hours?  "
"2514","1",2514,"Ruby Gillis gave me an apple and Sophia Sloane lent me a lovely pink card with ‘May I see you home?’ "
"2518","1",2518,"Can I have some of those pearl beads off the old pincushion in the garret to make myself a ring? "
"2521","1",2521,"Marilla, have I really a pretty nose? "
"2533","1",2533,"“Gilbert Blythe?” "
"2535","1",2535,"“Isn’t his name that’s written up on the porch wall with Julia Bell’s and a big ‘Take Notice’ over them?”  "
"2570","1",2570,"Did you ever? "
